id_date;date_mutation
1;2020-01-02
2;2020-01-03
3;2020-01-04
4;2020-01-06
5;2020-01-07
6;2020-01-08
7;2020-01-09
8;2020-01-10
9;2020-01-11
10;2020-01-12
11;2020-01-13
12;2020-01-14
13;2020-01-15
14;2020-01-16
15;2020-01-17
16;2020-01-18
17;2020-01-19
18;2020-01-20
19;2020-01-21
20;2020-01-22
21;2020-01-23
22;2020-01-24
23;2020-01-25
24;2020-01-27
25;2020-01-28
26;2020-01-29
27;2020-01-30
28;2020-01-31
29;2020-02-01
30;2020-02-03
31;2020-02-04
32;2020-02-05
33;2020-02-06
34;2020-02-07
35;2020-02-08
36;2020-02-10
37;2020-02-11
38;2020-02-12
39;2020-02-13
40;2020-02-14
41;2020-02-15
42;2020-02-16
43;2020-02-17
44;2020-02-18
45;2020-02-19
46;2020-02-20
47;2020-02-21
48;2020-02-22
49;2020-02-23
50;2020-02-24
51;2020-02-25
52;2020-02-26
53;2020-02-27
54;2020-02-28
55;2020-02-29
56;2020-03-02
57;2020-03-03
58;2020-03-04
59;2020-03-05
60;2020-03-06
61;2020-03-07
62;2020-03-09
63;2020-03-10
64;2020-03-11
65;2020-03-12
66;2020-03-13
67;2020-03-14
68;2020-03-16
69;2020-03-17
70;2020-03-18
71;2020-03-19
72;2020-03-20
73;2020-03-21
74;2020-03-23
75;2020-03-24
76;2020-03-25
77;2020-03-26
78;2020-03-27
79;2020-03-28
80;2020-03-30
81;2020-03-31
82;2020-04-01
83;2020-04-02
84;2020-04-03
85;2020-04-04
86;2020-04-06
87;2020-04-07
88;2020-04-08
89;2020-04-09
90;2020-04-10
91;2020-04-11
92;2020-04-14
93;2020-04-15
94;2020-04-16
95;2020-04-17
96;2020-04-18
97;2020-04-20
98;2020-04-21
99;2020-04-22
100;2020-04-23
101;2020-04-24
102;2020-04-27
103;2020-04-28
104;2020-04-29
105;2020-04-30
106;2020-05-01
107;2020-05-02
108;2020-05-04
109;2020-05-05
110;2020-05-06
111;2020-05-07
112;2020-05-08
113;2020-05-09
114;2020-05-11
115;2020-05-12
116;2020-05-13
117;2020-05-14
118;2020-05-15
119;2020-05-16
120;2020-05-18
121;2020-05-19
122;2020-05-20
123;2020-05-21
124;2020-05-22
125;2020-05-23
126;2020-05-25
127;2020-05-26
128;2020-05-27
129;2020-05-28
130;2020-05-29
131;2020-05-30
132;2020-06-01
133;2020-06-02
134;2020-06-03
135;2020-06-04
136;2020-06-05
137;2020-06-06
138;2020-06-07
139;2020-06-08
140;2020-06-09
141;2020-06-10
142;2020-06-11
143;2020-06-12
144;2020-06-13
145;2020-06-15
146;2020-06-16
147;2020-06-17
148;2020-06-18
149;2020-06-19
150;2020-06-20
151;2020-06-22
152;2020-06-23
153;2020-06-24
154;2020-06-25
155;2020-06-26
156;2020-06-27
157;2020-06-29
158;2020-06-30
